Name,Brand,Processor_brand,RAM_GB,RAM_type,Storage_capacity_GB,Storage_type,Graphics_name,Graphics_brand,Graphics_GB,Graphics_integreted,Display_size_inches,Horizontal_pixel,Vertical_pixel,ppi,Touch_screen,Operating_system,b_G3Dmark,b_G2Dmark,b_TDP,b_powerPerformance,Processor_full,b_manufacturer,b_singleScore,b_multiScore,b_cores,b_threads,b_baseClock,b_turboClock,cpu_tier,gpu_tier
HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,AMD,8,DDR4,512, SSD,AMD Radeon RX 6500M,AMD,4.0,False,15.6,1920,1080,141.21,True,Windows 11 OS,11499.0,550.0,,,AMD Ryzen 5 5600H,AMD,1383.0,10136.0,6.0,12.0,3.3,4.2,2,2
Lenovo V15 G4 â€Ž82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,AMD,8,LPDDR5,512, SSD,AMD Radeon Graphics,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 3 7320U,Intel,1312.0,6490.0,4.0,8.0,3.8,4.6,1,0
HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,Intel,8,DDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1215U,Intel,1693.0,8197.0,4.0,8.0,3.3,4.3,2,0
Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,Intel,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,Intel,,False,13.3,1080,1920,165.63,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1240P,Intel,1725.0,12117.0,6.0,12.0,2.5,4.4,3,1
Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),Tecno,Intel,8,LPDDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1115G4,Intel,1518.0,6109.0,4.0,8.0,1.2,4.7,1,0
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Samsung,Intel,8,LPDDR4,512, SSD,Intel Integrated UHD,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i5 1235U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,0
Xiaomi Redmi G Pro 2024 Gaming Laptop (14th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ RTX 4060),Xiaomi,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,16.1,2560,1600,187.51,False,Windows 11 OS,16958.0,951.0,170.0,99.76,Intel Core i9 14900HX,Intel,1948.0,16839.0,14.0,20.0,2.5,5.0,4,3
Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Dell,Intel,8,DDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1215U,Intel,1693.0,8197.0,4.0,8.0,3.3,4.3,2,0
HP 15s-fq5330TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),HP,Intel,16,DDR4,512, SSD,Intel Integrated Iris Xe,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1235U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,1
Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Asus,Intel,16,DDR4,512, SSD,Intel Iris Xe,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 12500H,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,1
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Wings,Intel,8,DDR4,512, SSD,Intel Graphics,Intel,,False,15.6,1080,1920,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1135G7,Intel,1518.0,6109.0,4.0,8.0,1.2,4.7,1,1
Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),Lenovo,AMD,8,DDR4,512, SSD,AMD Radeon Graphics,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 3 5300U,AMD,1298.0,8504.0,4.0,8.0,4.0,4.2,2,0
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,AMD,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3050,NVIDIA,6.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,12718.0,911.0,,,AMD Ryzen 7 7840HS,AMD,1505.0,12645.0,8.0,16.0,3.2,4.7,3,2
Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),Apple,Apple,8,DDR4,256, SSD,Apple M1 Integrated Graphics,Apple,,True,13.3,2560,1600,226.98,False,Mac OS,2782.0,338.0,,,Apple M1,,1648.0,10136.0,6.0,,2.5,4.5,3,1
Zebronics Pro Series Z ZEB-NBC 4S Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Zebronics,Intel,16,DDR4,512, SSD,Intel Integrated,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i5 1235U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,0
Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),Asus,Intel,16,DDR4,1000, SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,9452.0,416.0,80.0,118.16,Intel Core i7 11800H,Intel,1514.0,12342.0,8.0,16.0,1.9,4.6,3,2
Lenovo LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Lenovo,Intel,16,DDR5,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,Intel Core i5 12450H,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,2
Apple MacBook Air 2024 Laptop (Apple M3/ 8GB/ 256GB SSD/ MacOS),Apple,Apple,8,,256, SSD,Apple 8 Core GPU,Apple,,False,13.6,2560,1664,224.51,False,Mac OS,2782.0,338.0,,,Apple M3,,1648.0,10136.0,6.0,,2.5,4.5,3,1
Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),Dell,AMD,8,DDR4,512, SSD,AMD Radeon Radeon Graphics,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 5 5500U,AMD,1185.0,7173.0,6.0,12.0,2.1,4.0,1,0
Asus TUF F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,Intel,8,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,Intel Core i5 11400H,Intel,1737.0,9420.0,6.0,12.0,2.2,4.5,2,2
Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,AMD,8,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 3 7330U,AMD,1307.0,6845.0,4.0,8.0,3.8,4.3,1,0
Gigabyte G5 MF-G2IN313SH Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Gigabyte,Intel,16,DDR4,512, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,15.0,1920,1080,146.86,False,Windows 11 OS,12718.0,911.0,,,Intel Core i7 12650H,Intel,1648.0,8615.0,12.0,16.0,2.1,4.7,2,2
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),Asus,AMD,8,DDR4,512, SSD,AMD Radeon Vega 7,AMD,,False,16.0,1920,1200,141.51,False,Windows 11 OS,1669.0,442.0,,,AMD Ryzen 5 5600H,AMD,1383.0,10136.0,6.0,12.0,3.3,4.2,2,1
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple,Apple,8,DDR4,256, SSD,8-Core GPU,Apple,,False,13.6,2560,1664,224.51,False,Mac OS,2782.0,338.0,,,Apple M2,,1648.0,10136.0,6.0,,2.5,4.5,3,1
Samsung Galaxy Book 4 NP750XGK-KS2IN Laptop (Intel Core 5 Processor 120U/ 16GB/ 512GB SSD/ Win11),Samsung,Intel,16,LPDDR4X,512, SSD,Intel Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core 5 120U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,1
HP 14s-dq5138tu Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),HP,Intel,8,DDR4,512, SSD,Intel Integrated UHD,Intel,,True,14.0,1920,1080,157.35,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1215U,Intel,1693.0,8197.0,4.0,8.0,3.3,4.3,2,0
Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),Samsung,Intel,32,LPDDR5X,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,16.0,2880,1800,212.26,True,Windows 11 OS,12718.0,911.0,,,Intel Core Ultra 155H,,1732.0,14825.0,12.0,,2.5,4.5,4,2
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus,Intel,8,DDR4,512, SSD,Intel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1220P,Intel,1788.0,9773.0,12.0,16.0,2.2,4.8,2,0
Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),Lenovo,AMD,8,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,15.6,1920,1080,141.21,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 7 7730U,AMD,1266.0,9064.0,8.0,16.0,1.8,4.3,2,0
Acer Predator Helios Neo 16 PHN16-71 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Acer,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,16.0,1920,1200,141.51,False,Windows 11 OS,12718.0,911.0,,,Intel Core i7 13700HX,Intel,1774.0,16860.0,14.0,20.0,2.3,4.7,4,2
HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),HP,AMD,8,DDR4,512, SSD,NVIDIA GeForce GTX 1650,NVIDIA,4.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,7807.0,592.0,75.0,104.09,AMD Ryzen 5 5600H,AMD,1383.0,10136.0,6.0,12.0,3.3,4.2,2,2
HP Victus 15-fa1099TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),HP,Intel,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,8007.0,380.0,,,Intel Core i5 12450H,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,2
Dell 15 G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 3050,NVIDIA,6.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,Intel Core i5 13450HX,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,2
Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Asus,AMD,16,LPDDR5,512, SSD,â€ŽNVIDIA GeForce RTX 3050,NVIDIA,4.0,False,13.4,1920,1200,168.97,True,Windows 11 OS,12718.0,911.0,,,AMD Ryzen 9 6900HSâ€‹,AMD,1609.0,13052.0,8.0,16.0,3.3,4.9,3,2
Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),Asus,Intel,16,DDR4,512, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,16958.0,951.0,170.0,99.76,Intel Core i7 12700H,Intel,1774.0,16860.0,14.0,20.0,2.3,4.7,4,3
Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Dell,Intel,16,DDR5,512, SSD,Intel Integrated UHD,Intel,,True,14.0,1920,1080,157.35,False,Windows 11 OS,1582.0,267.0,,,Intel Core i5 1240P,Intel,1725.0,12117.0,6.0,12.0,2.5,4.4,3,0
Lenovo IdeaPad Slim 5 â€Ž16IMH9 83DC0042IN Laptop (Intel Core Ultra 5/ 16 GB RAM/ 1TB SSD/ Win 11),Lenovo,Intel,16,LPDDR5,1000, SSD,Intel Arc Graphics,Intel,,False,16.0,1920,1200,141.51,False,Windows 11 OS,2782.0,338.0,,,Intel Core Ultra 125H,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,1
Zebronics Pro Series Y ZEB-NBC 2S Laptop (11th Gen Core i5 / 16GB/ 512GB SSD/ Win11 Home),Zebronics,Intel,16,LPDDR4X,512, SSD,Intel Integrated UHD,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i5 1155G7,Intel,1518.0,6109.0,4.0,8.0,1.2,4.7,1,0
MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),MSI,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,16958.0,951.0,170.0,99.76,Intel Core i7 12650H,Intel,1648.0,8615.0,12.0,16.0,2.1,4.7,2,3
Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),Asus,AMD,16,LPDDR5,1000, SSD,â€ŽNVIDIA GeForce RTX 3050,NVIDIA,4.0,False,13.4,1920,1200,168.97,True,Windows 11 OS,12718.0,911.0,,,AMD Ryzen 9 6900HSâ€‹,AMD,1609.0,13052.0,8.0,16.0,3.3,4.9,3,2
Asus TUF Gaming F15 FX506HC-HN362WS Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,Intel,16,DDR4,512, SSD,NVIDIA GeForce RTX 3050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,Intel Core i5 11400H,Intel,1737.0,9420.0,6.0,12.0,2.2,4.5,2,2
Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),Asus,AMD,16,DDR4,512, SSD,AMD Radeon Vega 7,AMD,,False,16.0,1920,1200,141.51,False,Windows 11 OS,1669.0,442.0,,,AMD Ryzen 7 5800H,AMD,1438.0,12330.0,8.0,16.0,3.2,4.4,3,1
Samsung Galaxy Book2 Pro 360 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),Samsung,Intel,16,LPDDR5,512, SSD,Intel Iris Xe Graphics,Intel,,False,13.3,1080,1920,165.63,True,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1240P,Intel,1725.0,12117.0,6.0,12.0,2.5,4.4,3,1
HP Envy x360 14-fc0105TU Laptop (Intel Core Ultra 5 125U/ 16GB/ 512GB SSD/ Win11),HP,Intel,16,LPDDR5,512, SSD,Integrated Intel Graphics,Intel,,True,14.0,1920,1200,161.73,True,Windows 11 OS,1582.0,267.0,,,Intel Core Ultra 125U,,1732.0,14825.0,12.0,,2.5,4.5,4,0
HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),HP,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4060,NVIDIA,8.0,False,16.1,1920,1080,136.83,False,Windows 11 OS,16958.0,951.0,170.0,99.76,Intel Core i7 14700HX,Intel,1774.0,16860.0,14.0,20.0,2.3,4.7,4,3
Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),Dell,Intel,16,DDR5,1000, SSD,NVIDIA GeForce RTX 4050,NVIDIA,6.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,12718.0,911.0,,,Intel Core i7 13650HX,Intel,1094.0,9918.0,10.0,20.0,3.0,3.5,2,2
Lenovo Yoga Slim 6 14IAP8 82WU0095IN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),Lenovo,Intel,16,LPDDR5,512, SSD,Intel Integrated Iris Xe,Intel,,True,14.0,2240,1400,188.68,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1240P,Intel,1725.0,12117.0,6.0,12.0,2.5,4.4,3,1
Lenovo IdeaPad Slim 3 82RK00VWIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Lenovo,Intel,8,DDR4,512, SSD,â€ŽIntel UHD Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,1582.0,267.0,,,Intel Core i3 1215U,Intel,1693.0,8197.0,4.0,8.0,3.3,4.3,2,0
HP 15s-fq5329TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),HP,Intel,8,DDR4,512, SSD,Intel Integrated Iris Xe,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1235U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,1
Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),Acer,Intel,16,DDR4,512, SSD,NVIDIA GeForce RTX 2050,NVIDIA,4.0,False,15.6,1920,1080,141.21,False,Windows 11 OS,8007.0,380.0,,,Intel Core i5 12450H,Intel,1732.0,14825.0,12.0,16.0,2.5,4.5,4,2
Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),Infinix,Intel,32,LPDDR5X,1000, SSD,Intel Integrated Iris Xe,Intel,,True,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i9 13900H,Intel,1948.0,16839.0,14.0,20.0,2.5,5.0,4,1
Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),Asus,Intel,16,DDR4,512, SSD,NVIDIA Geforce RTX 4050,NVIDIA,6.0,False,16.0,1920,1200,141.51,False,Windows 11 OS,12718.0,911.0,,,Intel Core i7 12650H,Intel,1648.0,8615.0,12.0,16.0,2.1,4.7,2,2
HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),HP,AMD,4,DDR4,256, SSD,AMD Integrated,AMD,,True,15.6,1366,768,100.45,False,DOS OS,292.0,103.0,,,AMD Athlon 3050U,,1875.0,16225.0,12.0,,3.6,4.9,4,0
MSI Modern 14 C7M-062IN Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11),MSI,AMD,16,DDR4,512, SSD,AMD Radeon AMD,AMD,,False,14.0,1920,1080,157.35,False,Windows 11 OS,292.0,103.0,,,AMD Ryzen 5 7530U,AMD,1379.0,7697.0,6.0,12.0,2.3,4.2,1,0
Dell Vostro 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Dell,Intel,8,DDR4,512, SSD,Intel Iris Xe Graphics,Intel,,False,15.6,1920,1080,141.21,False,Windows 11 OS,2782.0,338.0,,,Intel Core i5 1235U,Intel,1824.0,13145.0,6.0,12.0,3.0,4.6,3,1
