brand,model,price,rating,os,ram_gb,cpu_brand,cpu_name,cpu_speed_ghz,cpu_gen,cpu_cores,cpu_threads,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,cpu_family,cpu_series,cpu_model_id,cpu_suffix,storage_gb,storage_type,secondary_storage,gpu_brand,gpu_name,gpu_vram_gb,gpu_type,gpu_series,gpu_model_id,display_size_inch,display_width_px,display_height_px,display_ppi,screen_resolution,is_touchscreen,has_ips_panel,has_retina_display,color,special_features,device_category,ram_type,warranty,weight,rating_review_text,total_processors,execution_units,energy_eff_units,low_power_cores,graphics_integrated,source_file
ROKC,,$589.99 ,,Windows 11,8 GB,,Intel Core i7,1.2 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,14 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$999.99 ,4.5,Windows 11 Pro,64 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
MSI,Vector GP66 12UGS-267,"$1,599.00 ",5.0,Windows 11 Home,32 GB,,Intel Core i9,1.8 GHz,,,,,,,,,,,,,,,Dedicated,,,,,15.66 Inches,,,,,,,,Core Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,MacBook Air,$689.99 ,4.8,Mac OS,8 GB,,Unknown,,,,,,,,,,,,256 GB,,,,Integrated,,,,,13.3 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,MacBook Air,"$1,144.48 ",4.8,Mac OS,8 GB,,Unknown,,,,,,,,,,,,256 GB,,,,Integrated,,,,,15.3 Inches,,,,,,,,Midnight,,,,,,,,,,,,amazon_laptop_prices_v01.csv
Acer,A315-24P-R7VH,$299.99 ,4.5,Windows 11 S,8 GB,,Ryzen 3,,,,,,,,,,,,128 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Apple,MacBook Pro,$965.08 ,4.7,Mac OS,8 GB,,Unknown,,,,,,,,,,,,256 GB,,,,Integrated,,,,,13.3 Inches,,,,,,,,Space Gray,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
Acer,CB315-3HT,$239.99 ,4.4,Chrome OS,4 GB,,Celeron N4020,,,,,,,,,,,,64 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Support Stylus,,,,,,,,,,,amazon_laptop_prices_v01.csv
ASUS,ROG Strix G16,"$1,274.03 ",4.4,Windows 11 Home,16 GB,,Core i7,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,16 Inches,,,,,,,,Eclipse Gray,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,A515-56-347N,$299.99 ,4.3,Windows 11 S,8 GB,,Core I3 1115G4,,,,,,,,,,,,128 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Silver,Amazon Alexa,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,AN515-58-57Y8,$814.77 ,4.4,Windows 11 Home,16 GB,,Core i5,,,,,,,,,,,,512 GB,,,,Dedicated,,,,,15.6 Inches,,,,,,,,Black,Backlit Keyboard,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,Notebook,$379.99 ,4.4,Windows 11,16 GB,,Ryzen 3 3250U,,,,,,,,,,,,1 TB,,,,Integrated,,,,,14 Inches,,,,,,,,Grey,Anti Glare Coating,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,,$389.99 ,5.0,Windows 11,20 GB,,Pentium,1.1 GHz,,,,,,,,,,,1152 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Blue,,,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,,$459.99 ,4.4,Windows 11,16 GB,,Pentium N5000,1.1 GHz,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Black,,,,,,,,,,,,amazon_laptop_prices_v01.csv
ROKC,Ideapad 3,$639.99 ,,Windows 11,20 GB,,Intel Core i5,,,,,,,,,,,,1000 GB,,,,Integrated,,,,,15.6 Inches,,,,,,,,Gray,,,,,,,,,,,,amazon_laptop_prices_v01.csv
acer,Nitro 17,"$1,199.99 ",4.4,Windows 11 Home,16 GB,,AMD Ryzen 7,,,,,,,,,,,,1 TB,,,,Dedicated,,,,,17.3 Inches,,,,,,,,Black,"Backlit Keyboard, Memory Card Slot",,,,,,,,,,,amazon_laptop_prices_v01.csv
HP,hp laptop,$473.00 ,4.2,Windows 11 Home,16 GB,,Intel Core i3,,,,,,,,,,,,1 TB,,,,Integrated,,,,,15.6 Inches,,,,,,,,,Anti-glare,,,,,,,,,,,amazon_laptop_prices_v01.csv
